account,amount
0xf9c5525792df4d70c287b872bea21c2e44df87ac,500
0x625B261E91efD5EC12ACe7a51d56B52B5040e8D9,500
0x7F5DfF21a6a601F110106B3e8d10263C9aCC75fD,400
0x2842cAAB61f885F70aB124e292879fa797AA4Cda,400
0xa0673549516730668248E41CDF866eB6f47f3F7E,400
0x644bA5EcECF6BFA2Cb8ccCD3DdEf28040019B5C5,300
0x53833792D610c586030F6205054Ac10060B62FE6,300
0xD74554760Adc11bB290E28BA7fc07C33923693ef,300
0xEC468DA65858379b74eE2317a08739c8DA40Bc31,300
0x9bE9056DfCEfB733b2d533B09b43401861f5b2A0,300
0xc4fc936a55AbfBA99D9c3D7B6551fD5178D3E6d9,300
0xae042087E8A00cae57b2F4e94549Fe2856dB9b25,300
0x72a4f3D6F60daE1E10F9aF60db05FA51A9407Cc9,300
0x70F7803Bb93eCBbd0559Bb445f11d4B9431Ec623,300
0xF2a9D1759467c9D63b9b8C01dB7BFC8726ec79Dc,300
0x825a2E889b7b57bfb58a029c22FeFD0697045075,300
0x378630215Cf2349A8fe2982119A3111E424dE83F,300
0x5BeD3432bC350AD8E2FbA8E0BA9fBf508d0d4854,300
0x5d71892da972DE180391592D9D4527f7243C52b4,300
0x2D4E2895A71223b43E46ec5Acb29F6c3516b4643,300
0x1777F0BA04e2aF13709082C07Cea2012Ce2E7B3c,300
0xdA506cab5Cd437FeB8A4E47542CfB399ED8e6f46,300
0xC1eCbB3be3cb7a2d762CC611918a712616A8332C,300
0xC05415073e7Ae91cE69f10daC77D21149d3fD78f,300
0xB64563eA1659CC8126DF56Ce296685f569D1A5a3,300
0x75Ee148fc48A6066F05aaA3BAd6b486a45B7c88F,300
0xf214AB4B0cD623c8C8774A75165211E6d2A46D9c,300
0x9791B7a69E5Fa8F9fe7F07b4817b815A89abEF5C,300
0x9C4e2B80E7107f8bA8e835F42119483b7763d74d,300
0x87800E0b3c08Bead935c506e80faEb220aDA7aC5,300
